"date","device","poll","c","vg","conex"
"9/9/25 10:37","HAPSA-370","SO2",100.7,"100 ppb","M"
"9/9/25 10:38","HAPSA-370","SO2",99.2,"100 ppb","M"
"9/9/25 10:39","HAPSA-370","SO2",99.7,"100 ppb","M"
"9/9/25 10:40","HAPSA-370","SO2",99.4,"100 ppb","M"
"9/9/25 10:41","HAPSA-370","SO2",98.9,"100 ppb","M"
"9/9/25 10:42","HAPSA-370","SO2",98.9,"100 ppb","M"
"9/9/25 10:43","HAPSA-370","SO2",99.2,"100 ppb","M"
"9/9/25 10:44","HAPSA-370","SO2",98.7,"100 ppb","M"
"9/9/25 10:45","HAPSA-370","SO2",98.4,"100 ppb","M"
"9/9/25 10:46","HAPSA-370","SO2",98.6,"100 ppb","M"
"9/9/25 10:47","HAPSA-370","SO2",99.1,"100 ppb","M"
"9/9/25 10:48","HAPSA-370","SO2",99.1,"100 ppb","M"
"9/9/25 10:49","HAPSA-370","SO2",98.8,"100 ppb","M"
"9/9/25 10:50","HAPSA-370","SO2",99,"100 ppb","M"
"9/9/25 10:51","HAPSA-370","SO2",98.8,"100 ppb","M"
"9/9/25 10:52","HAPSA-370","SO2",99,"100 ppb","M"
"9/9/25 10:53","HAPSA-370","SO2",99.3,"100 ppb","M"
"9/9/25 10:54","HAPSA-370","SO2",99.2,"100 ppb","M"
"9/9/25 10:55","HAPSA-370","SO2",99.3,"100 ppb","M"
"9/9/25 10:56","HAPSA-370","SO2",99.6,"100 ppb","M"
"9/9/25 10:57","HAPSA-370","SO2",99.5,"100 ppb","M"
"9/9/25 10:58","HAPSA-370","SO2",99.7,"100 ppb","M"
"9/9/25 10:59","HAPSA-370","SO2",100,"100 ppb","M"
"9/9/25 11:00","HAPSA-370","SO2",99.8,"100 ppb","M"
"9/9/25 11:01","HAPSA-370","SO2",99.3,"100 ppb","M"
"9/9/25 11:02","HAPSA-370","SO2",99.1,"100 ppb","M"
"9/9/25 11:03","HAPSA-370","SO2",99.5,"100 ppb","M"
"9/9/25 11:04","HAPSA-370","SO2",99.9,"100 ppb","M"
"9/9/25 11:05","HAPSA-370","SO2",100,"100 ppb","M"
"9/9/25 11:06","HAPSA-370","SO2",99.6,"100 ppb","M"
"9/9/25 11:07","HAPSA-370","SO2",99.7,"100 ppb","M"
"9/9/25 11:08","HAPSA-370","SO2",100,"100 ppb","M"
"9/9/25 11:09","HAPSA-370","SO2",100.1,"100 ppb","M"
"9/9/25 11:10","HAPSA-370","SO2",99.6,"100 ppb","M"
"9/9/25 11:11","HAPSA-370","SO2",99.2,"100 ppb","M"
"9/9/25 11:12","HAPSA-370","SO2",99.6,"100 ppb","M"
"9/9/25 11:13","HAPSA-370","SO2",99.6,"100 ppb","M"
"9/9/25 11:14","HAPSA-370","SO2",99.3,"100 ppb","M"
"9/9/25 11:15","HAPSA-370","SO2",99.4,"100 ppb","M"
"9/9/25 11:16","HAPSA-370","SO2",99.6,"100 ppb","M"
"9/9/25 11:17","HAPSA-370","SO2",99.6,"100 ppb","M"
"9/9/25 11:18","HAPSA-370","SO2",99.6,"100 ppb","M"
"9/9/25 11:19","HAPSA-370","SO2",99.6,"100 ppb","M"
"9/9/25 11:20","HAPSA-370","SO2",99.6,"100 ppb","M"
"9/9/25 11:21","HAPSA-370","SO2",99.5,"100 ppb","M"
"9/9/25 11:22","HAPSA-370","SO2",99.2,"100 ppb","M"
"9/9/25 11:23","HAPSA-370","SO2",98.8,"100 ppb","M"
"9/9/25 11:24","HAPSA-370","SO2",99,"100 ppb","M"
"9/9/25 11:25","HAPSA-370","SO2",98.6,"100 ppb","M"
"9/9/25 11:26","HAPSA-370","SO2",98.5,"100 ppb","M"
"9/9/25 11:27","HAPSA-370","SO2",98.3,"100 ppb","M"
"9/9/25 11:28","HAPSA-370","SO2",98.5,"100 ppb","M"
"9/9/25 11:29","HAPSA-370","SO2",98.5,"100 ppb","M"
"9/9/25 11:30","HAPSA-370","SO2",98.2,"100 ppb","M"
"9/9/25 11:31","HAPSA-370","SO2",98.2,"100 ppb","M"
"9/9/25 11:32","HAPSA-370","SO2",97.7,"100 ppb","M"
"9/9/25 11:33","HAPSA-370","SO2",97.6,"100 ppb","M"
"9/9/25 11:34","HAPSA-370","SO2",97.6,"100 ppb","M"
"9/9/25 11:35","HAPSA-370","SO2",98,"100 ppb","M"
"9/9/25 11:36","HAPSA-370","SO2",98.4,"100 ppb","M"
"9/9/25 11:37","HAPSA-370","SO2",98.6,"100 ppb","M"
"9/9/25 11:38","HAPSA-370","SO2",98.7,"100 ppb","M"
"9/9/25 11:39","HAPSA-370","SO2",98.4,"100 ppb","M"
"9/9/25 11:40","HAPSA-370","SO2",98,"100 ppb","M"
"9/9/25 11:41","HAPSA-370","SO2",97.7,"100 ppb","M"
"9/9/25 11:42","HAPSA-370","SO2",97.8,"100 ppb","M"
"9/9/25 11:43","HAPSA-370","SO2",97.8,"100 ppb","M"
"9/9/25 11:44","HAPSA-370","SO2",98.3,"100 ppb","M"
"9/9/25 11:45","HAPSA-370","SO2",98.4,"100 ppb","M"
"9/9/25 11:46","HAPSA-370","SO2",98.2,"100 ppb","M"
"9/9/25 11:47","HAPSA-370","SO2",98.2,"100 ppb","M"
"9/9/25 11:48","HAPSA-370","SO2",98.2,"100 ppb","M"
"9/9/25 11:49","HAPSA-370","SO2",98.2,"100 ppb","M"
"9/9/25 11:50","HAPSA-370","SO2",98.3,"100 ppb","M"
"9/9/25 11:51","HAPSA-370","SO2",98.8,"100 ppb","M"
"9/9/25 11:52","HAPSA-370","SO2",98.8,"100 ppb","M"
"9/9/25 11:53","HAPSA-370","SO2",98.8,"100 ppb","M"
"9/9/25 11:54","HAPSA-370","SO2",98.9,"100 ppb","M"
"9/9/25 11:55","HAPSA-370","SO2",98.9,"100 ppb","M"
"9/9/25 11:56","HAPSA-370","SO2",99.1,"100 ppb","M"
"9/9/25 11:57","HAPSA-370","SO2",99.1,"100 ppb","M"
"9/9/25 11:58","HAPSA-370","SO2",99.2,"100 ppb","M"
"9/9/25 11:59","HAPSA-370","SO2",99,"100 ppb","M"
"9/9/25 12:00","HAPSA-370","SO2",98.6,"100 ppb","M"
"9/9/25 12:01","HAPSA-370","SO2",98.8,"100 ppb","M"
"9/9/25 12:02","HAPSA-370","SO2",99.2,"100 ppb","M"
"9/9/25 12:03","HAPSA-370","SO2",99.4,"100 ppb","M"
"9/9/25 12:04","HAPSA-370","SO2",99.1,"100 ppb","M"
"9/9/25 12:05","HAPSA-370","SO2",98.9,"100 ppb","M"
